,time,oob
0,47.865992,0.02637282
1,151.9652438,0.026315506
2,245.0660488,0.026322888
3,321.4231074,0.026321581
4,433.8424967,0.02635844
5,517.4691142,0.02631325
6,625.4635188,0.02636577
7,761.4350809,0.026351863
8,913.6547098,0.999949192
9,999.0125384,0.026350595
10,1137.993392,0.994501931
11,1235.098569,0.026316302
12,1315.800205,0.026345692
13,1479.053898,0.999995683
14,1606.991498,0.026336325
15,1744.388008,0.576525485
16,1809.98208,0.026369022
17,1945.295802,0.026325902
18,2094.552429,1
19,2212.917257,0.026377713
20,2314.294906,0.026327353
21,2416.171645,0.026345832
22,2559.706924,0.420268033
23,2636.949355,0.026353741
24,2753.975255,0.026373725
25,2894.424942,0.026330289
26,3047.773117,0.026311189
27,3131.300063,0.433181316
28,3248.291226,0.581918056
29,3355.296373,0.375041405
30,3457.591235,0.973105943
31,3580.587916,0.991590755
