,temperature,oob,time
0,1000,0.026373388,59.9558546
1,1000,0.026370168,115.716021
2,1000,0.026377121,170.9689559
3,1000,0.026370168,226.0285307
4,1000,0.02634106,281.2366699
5,1000,0.02637551,336.5360866
6,1000,0.026352883,391.8371305
7,1000,0.026345891,447.4559885
8,800,0.026354976,503.1593083
9,800,0.0263378,558.5124835
10,800,0.026334579,613.8630021
11,800,0.026317142,670.8214742
12,800,0.026351479,716.7839014
13,800,0.02634076,762.274967
14,800,0.026340075,807.6729661
15,800,0.02632367,853.1515771
16,640,0.026379142,898.5339414
17,640,0.381391928,944.1199789
18,640,0.026368615,989.4584315
19,640,0.026374562,1034.871829
20,640,0.026377776,1080.023599
21,640,0.026343939,1125.129471
22,640,0.02637277,1176.962472
23,640,0.026358335,1228.860271
24,512,0.026354983,1280.386721
25,512,0.026375012,1331.943454
26,512,0.026376623,1383.362445
27,512,0.026360082,1435.011503
28,512,0.026366934,1486.564902
29,512,0.026363432,1538.007527
30,512,0.026358381,1589.522974
31,512,0.026376554,1641.004726
32,409.6,0.026352565,1692.349813
33,409.6,0.026376599,1747.087244
34,409.6,0.026354921,1783.210272
35,409.6,0.026368338,1818.800095
36,409.6,0.026370905,1854.676876
37,409.6,0.026373365,1890.33953
38,409.6,0.072761754,1926.824205
39,409.6,0.026341039,2179.371649
40,327.68,0.026376254,2251.016765
41,327.68,0.026375232,2393.736982
42,327.68,0.026379828,2536.336211
43,327.68,0.026377774,2607.746913
44,327.68,0.026342539,2679.3369
45,327.68,0.026359025,2750.735291
46,327.68,0.058573546,2822.082784
47,327.68,0.026370874,2893.322731
48,262.144,0.026330143,2981.502601
49,262.144,0.026324578,3048.419956
50,262.144,0.026323737,3114.670533
51,262.144,0.026374514,3180.909628
52,262.144,0.428631258,3247.018541
53,262.144,0.026375229,3313.23735
54,262.144,0.026341906,3379.558504
55,262.144,0.026341201,3445.680741
56,209.7152,0.488197439,3511.61503
57,209.7152,0.0263309,3577.577985
